weryfikator,czy_blad,blad_pytania_nr,koder,lp_koder,lp_szkoly,klasa,oddział,id_ucznia,miejsc,Format,woj_nr,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10_M,P10_JP,P10P,P10B,P10C,P10F,P11,P12,P13_01,P13_02,P13_03,P13_04,P13_05,P13_06,P13_07,P13_08,P13_09,P13_10,P13_I,P14,P15_1,P15_2,P15_3,P15_4,P15_5,P 16,P 17,P 18,P 19,P 20,P 21,P 22,P 23,P 24,P 25,P 26,P 27,P 28,P 29,P 30,P 31,P 32,P 33,P 34,P 35,P 36,P 37,P 38,P 39,P 40,P 41,P 42,P 43,P 44,P 45,P 45a,P 45b,P 45c,P 45e,P 45f,P 45g,P 45h,P 45i,P 45k,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D20,D21,D22,W1_1,W1_2,W1_3,W1_4,W1_5,W1_6,W1_7,W1_8,W1_9,W1_10,W2_1,W2_2,W2_3,W2_4,W2_5,W2_6,W2_7,W2_8,W2_9,W2_10,W2_11,W2_12,W2_13,W2_14,W2_15,W3,W4,W5_1A,W5_2A,W5_3A,W5_4A,W5_1B,W5_2B,W5_3B,W5_4B,W5_1C,W5_2C,W5_3C,W5_4C,W5_1D,W5_2D,W5_3D,W5_4D,W5_1E,W5_2E,W5_3E,W5_4E,W5_1F,W5_2F,W5_3F,W5_4F,W5_1G,W5_2G,W5_3G,W5_4G,W5_1H,W5_2H,W5_3H,W5_4H,W5_1I,W5_2I,W5_3I,W5_4I,W5_1J,W5_2J,W5_3J,W5_4J,W5_1K,W5_2K,W5_3K,W5_4K,W5_1L,W5_2L,W5_3L,W5_4L,W5_1M,W5_2M,W5_3M,W5_4M,W5_1N,W5_2N,W5_3N,W5_4N,W5_1O,W5_2O,W5_3O,W5_4O,W5_1P,W5_2P,W5_3P,W5_4P,W5_1R,W5_2R,W5_3R,W5_4R,W5_1S,W5_2S,W5_3S,W5_4S,
,,,1,11,9,6,a,mur11,Władysławów,2,15,1,2007,2,7,7,2,99,1,elektryk,5,4,6,4,99,99,Po ukończeniu tutejszej szkoły chciałbym pójść w stronę zawodu gastronomicznego.,5,0,1,1,1,0,0,0,0,0,0,99,3,1,1,0,0,0,2,1,3,3,3,2,1,3,3,5,5,5,5,5,3,4,3,5,3,3,2,4,1,3,1,1,3,5,5,1,2,0,0,0,0,0,3,0,Mój pokój,2,2,2,1,2,2,1,2,1,2,1,1,1,2,1,2,1,2,2,1,1,1,3,1,3,1,3,1,3,1,3,1,3,2,5,5,5,5,1,3,5,4,5,3,5,2,3,99,99,2,1,1,2,1,1,1,1,2,2,2,3,1,1,1,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,3,2,1,1,2,2,1,99,2,1,1,1,2,1,1,1,2,2,2,2,3,
,,,1,12,9,6,a,mur12,Władysławów,2,15,1,2007,2,1,2,1,Moja mama uczy w szkole podstawowej we Władysławowie i zajmuje się wychowaniem dzieci od 1 do 3 kl,1,Mój tata jest blacharzem i pracuje w firmie 77 i od czasu 77 różne rzeczy,5,5,99,4,99,99,W przyszłości chciałbym zostać inżynierem. interesuje mnie skład różnych maszyn i urządzeń,3,0,0,0,0,0,0,0,0,0,1,99,4,0,1,0,0,0,1,3,1,1,3,4,2,3,2,4,3,4,4,5,4,4,3,3,5,3,4,3,2,3,4,4,3,5,5,1,1,0,0,0,0,0,0,0,Mój dom,2,2,1,1,2,2,1,2,1,2,2,1,2,88,1,2,99,2,2,99,1,1,2,2,3,1,1,1,2,1,2,1,2,4,3,4,2,4,5,2,4,1,3,2,4,4,2,Wszystko wydawało mi się znajomo,Jak mocno wytrzymałe są te eksponaty?,2,2,2,3,2,2,2,2,2,1,2,2,2,2,1,3,2,1,2,3,2,1,1,1,2,1,1,2,2,2,1,3,2,2,2,3,2,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,3,2,2,2,3,1,1,1,2,1,1,1,2,2,2,1,2,
,,,1,13,9,6,b,mur13,Władysławów,2,15,1,2008,2,2,2,1,krawiec. szyje,1,stolarz. buduje stoiska,2,3,99,2,99,99,policjantem,4,0,1,0,0,0,0,0,0,0,0,99,4,0,0,0,0,1,1,2,1,1,4,5,2,3,3,4,4,3,3,5,4,5,3,5,5,5,4,5,5,3,3,3,4,3,4,1,0,0,0,1,0,0,0,0,szkoła,2,2,1,1,2,1,2,1,1,2,1,1,2,1,2,2,1,1,2,1,1,1,3,2,2,3,1,2,2,3,3,2,4,4,88,4,5,5,3,4,5,2,4,5,5,1,5,99,99,2,2,2,3,2,2,2,3,2,2,2,3,1,1,1,2,2,2,2,3,2,1,2,3,2,1,2,3,2,2,2,3,2,2,2,3,2,1,2,3,2,2,2,3,2,2,2,3,2,2,2,3,1,1,1,3,2,1,2,3,1,2,1,2,2,2,2,3,2,1,1,2,
,,,1,14,9,6,b,mur14,Władysławów,2,15,1,2007,2,2,2,1,technik sprzedawca-handlowiec,1,magazynier,2,4,99,2,99,99,Chciałbym być mechanikiem,4,1,0,1,1,0,1,1,0,0,0,99,3,0,0,0,0,1,4,4,3,3,3,5,4,3,3,3,3,3,3,4,3,3,4,4,3,2,2,2,4,4,4,3,4,4,4,1,0,0,0,1,0,0,0,0,Moja szkoła,2,1,1,2,2,1,1,1,1,2,2,2,2,1,1,2,1,2,2,1,1,1,2,2,2,2,2,1,1,3,3,2,4,2,4,4,5,4,4,4,5,4,2,4,4,3,4,O ciekawych doświaczeniach związanych z nauką.  Że nauka może być tak ciekawa. Prangnąłbym zobaczyć inne doświadczenia w CNK,Czy prosto jest przeprowadzić takie eksperymenty?,2,2,2,3,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,3,2,2,1,3,2,2,1,3,
,,,1,15,9,6,b,mur15,Władysławów,2,15,1,2007,2,2,2,2,99,1,dekarz,99,99,99,99,99,99,wyruszać do 77 i odkrywać 77,5,1,0,1,1,0,0,0,0,0,0,99,3,0,1,0,0,0,1,1,1,1,2,5,1,3,4,5,3,5,4,4,3,4,3,4,3,4,4,3,4,4,4,5,4,5,4,1,3,0,0,0,0,0,2,0,mój pokój,2,2,1,2,88,2,1,2,2,2,1,1,2,1,1,2,2,99,2,1,1,1,2,1,1,1,3,1,3,1,2,1,4,2,1,4,4,4,3,3,5,3,4,3,4,2,3,99,99,2,2,2,3,2,1,1,2,2,2,2,3,2,2,1,2,2,2,2,3,1,1,1,3,2,2,1,3,2,2,1,3,2,2,2,3,2,2,1,2,2,2,2,3,2,1,1,2,2,1,1,2,2,2,1,3,2,2,1,3,1,1,1,88,1,1,1,88,2,2,2,3,
,,,1,16,9,6,b,mur16,Władysławów,2,15,1,2007,2,1,1,1,mechanik,1,99,2,2,99,3,99,99,Chcę być w przyszłości mechanikiem,1,0,0,0,1,0,0,1,0,0,0,99,2,0,1,0,0,0,1,1,1,1,4,1,1,3,3,2,2,2,3,2,3,4,3,4,4,4,2,5,3,3,3,2,3,4,4,0,0,0,0,0,0,0,0,0,99,2,2,1,2,1,99,1,2,1,2,2,1,2,88,1,99,1,1,99,1,1,1,2,2,3,2,2,2,99,3,99,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,3,1,1,1,2,2,1,1,2,
,,,1,17,9,6,b,mur17,Władysławów,2,15,1,2007,2,1,2,1,ubezpiecza. pracuje w ubezpieczeniach,1,pracuje w profi jest na dziale 77 ruchu,4,4,99,3,99,99,Chcę być strażakiem Samem,1,0,0,0,0,0,0,0,0,0,1,99,3,0,1,0,0,0,1,1,1,1,4,1,1,2,2,2,1,2,3,3,1,4,3,4,4,4,3,3,2,5,2,2,4,4,4,1,3,0,0,0,0,0,0,0,moje łóżko,2,2,1,2,1,1,2,2,1,1,2,1,2,1,2,1,1,2,1,1,2,1,2,1,2,3,2,1,1,2,3,2,2,1,4,3,4,3,2,1,4,1,2,2,1,2,2,Że kula kopie prądem,Jak rozwiązać te łamigłówki?,2,2,1,2,2,1,1,1,2,2,2,3,2,2,1,2,2,2,2,3,2,2,2,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,1,3,2,2,1,2,1,1,1,2,2,2,1,3,2,2,2,3,
,,,1,18,9,6,b,mur18,Władysławów,2,15,1,2007,2,1,2,2,99,1,77,3,2,99,3,99,99,Jeszcze nie wiem,3,1,0,0,0,0,0,0,0,0,0,99,3,0,0,0,0,1,2,3,1,3,1,2,2,3,1,4,3,5,3,4,3,4,2,4,4,3,4,5,5,2,2,2,4,4,4,1,0,0,0,1,0,0,0,0,szkoła,2,2,1,1,2,1,1,2,2,2,1,1,2,1,99,2,2,2,2,1,1,1,2,1,1,1,2,1,2,1,1,1,4,4,4,3,4,5,4,3,5,5,4,4,4,3,4,99,99,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,1,2,2,2,2,1,2,2,2,2,3,2,2,2,3,2,2,2,3,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,2,2,2,3,
,,,1,19,9,6,b,mur19,Władysławów,2,15,1,2007,1,2,2,2,Praca w domu. Opieka i sprzątanie. Opiekuje się nami załatwia dokumenty i tym podobne a tatuś pracuje,1,Wprawia okna. drzwi i rolety i takie inne,3,4,99,3,99,99,Najbardziej chcę zostać policjantką lub fryzjerką,4,0,0,0,0,0,1,0,0,0,0,99,3,1,0,0,1,0,3,5,4,3,4,2,2,3,4,4,5,4,3,5,4,88,4,5,88,5,5,4,5,3,3,2,4,88,4,1,3,0,0,0,0,0,0,0,Biurko w moim pokoju przy dużej ilości kwiatów,2,88,88,99,2,88,88,88,1,2,1,1,2,88,1,2,99,99,1,88,1,88,88,2,2,2,3,2,3,3,3,2,3,4,88,5,5,5,88,88,88,5,88,4,88,3,4,Do jakich decybeli wytrzymuje mój słuch,99,2,2,2,3,2,2,2,3,2,2,2,3,2,2,88,88,2,2,2,3,2,2,2,88,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,88,2,2,2,3,2,2,88,88,2,2,2,88,2,2,2,3,2,2,99,88,2,2,1,88,1,1,1,88,2,2,2,3,
1,,,1,20,9,6,c,mur20,Władysławów,2,15,1,2007,2,1,1,7,99,1,mechanik,5,5,99,5,99,99,Chciałbym być laryngologiem lub archeologiem,3,1,0,1,1,0,1,0,0,0,0,99,4,0,1,0,0,0,3,2,3,3,4,4,3,3,4,5,3,5,4,5,2,2,4,5,5,4,1,5,5,1,3,1,4,3,4,1,0,0,0,0,3,0,1,1,Biblioteka lub dom,2,88,2,2,1,2,2,2,1,2,2,1,2,88,1,2,1,2,2,2,2,2,3,1,2,1,3,1,2,1,3,1,3,5,5,5,5,5,5,4,5,5,4,2,5,4,5,99,99,2,2,2,3,2,2,1,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,1,2,2,2,2,2,3,2,2,2,3,2,1,2,1,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,1,1,99,1,1,1,99,2,2,2,1,
,,,1,21,9,6,c,mur21,Władysławów,2,15,1,2007,2,1,1,1,Jest policjantką,1,Jest przedsiębiorcą,5,4,99,4,99,99,Chciałbym być architektem,3,1,1,1,0,0,0,0,0,0,0,99,5,0,1,0,0,0,1,3,4,3,3,2,3,3,4,5,3,5,4,5,4,5,4,5,4,5,5,4,3,5,5,5,5,4,5,1,3,0,0,0,0,0,0,0,moje biurko,2,2,1,2,2,1,2,1,2,2,1,1,2,1,1,2,2,1,2,1,1,1,3,1,3,1,3,1,2,1,3,1,4,3,4,4,5,5,5,3,5,4,4,5,4,1,5,Zrozumiałem jak działa energia. Dowiedziałem się jak widzi pijana osoba. Zobaczyłem według mnie zjawisko niewyjaśnione w jednym z eksponatów.,Chciałbym zrozumieć eksponaty z dzisiejszej wystawy. bo niektóre rzeczy zdawały mi się niezrozumiałe.,2,2,1,3,2,2,2,3,2,2,2,3,2,1,2,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,1,1,3,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,2,2,2,3,
,,,1,22,9,6,c,mur22,Władysławów,2,15,1,2007,2,1,2,1,nauczycielka naucza dzieci,1,od posadzek zajmuje się zalewaniem posadzek,4,4,99,5,99,99,W przyszłości chciałbym pracować jako architekt wnętrz.,4,1,0,1,0,0,0,0,0,0,0,99,3,0,1,1,0,0,1,4,3,2,4,5,2,3,3,4,5,5,4,5,3,4,4,5,3,2,4,3,4,4,4,3,5,4,5,1,0,0,0,1,0,0,0,0,szkoła,2,2,1,2,2,2,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,3,1,3,1,2,1,2,1,2,1,4,2,5,5,4,4,4,3,5,4,4,4,4,3,4,Dowiedziałem się dziś na wystawie o tym na czym polega próżnia i co się z przedmiotami dzieje. Jak powstaje film i animacje. Jak jest zbudowany człowiek.,Chciałbym się dowiedzieć więcej na temat kuli z plazmą.,2,2,2,3,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,3,2,1,1,2,2,2,2,3,2,2,2,3,2,2,2,3,1,1,1,1,1,1,1,1,2,1,2,3,"do ankiety doczepione są dodatkowe 3 ostatnie kartki wypełnione przez to samo dziecko, ale odp częściowo się różnią, te kartki nie są zakodowane."
,,,1,23,9,6,c,mur23,Władysławów,2,15,1,2007,2,2,2,2,Moja mama zajmuje się domem i mną.,1,Mój tata pracuje w firmie Domet jako wytapiacz aluminium i 77.,2,2,2,2,99,99,Ja w przyszłości chciałbym być rolnikiem ponieważ podoba mi się ciągniki i maszyny rolnicze. A w przyszłej pracy chciałbym pracować jak w straży pożarnej.,5,0,0,1,0,0,0,0,0,0,0,99,3,0,1,0,0,0,5,3,3,3,3,2,2,4,4,5,5,5,5,5,5,4,4,5,3,2,3,5,5,5,4,5,5,5,5,1,1,0,0,0,0,0,0,0,Uczę się w domu.,2,2,1,2,2,2,1,2,1,2,99,1,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,2,1,2,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,Dowiedziałem się że próżnia spada szybciej. Że jak człowiekowi się coś stanie to trzeba go operować. Wzrok jest ważny.,Skrzynka ze słuchawkami.,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,1,1,1,99,1,1,1,99,2,2,2,3,dodatkowe 3 kartki
